url,year,rank,title
https://www.imdb.com/title/tt0111161/,1994,1,The Shawshank Redemption
https://www.imdb.com/title/tt0068646/,1972,2,The Godfather
https://www.imdb.com/title/tt0071562/,1974,3,The Godfather: Part II
https://www.imdb.com/title/tt0468569/,2008,4,The Dark Knight
https://www.imdb.com/title/tt0050083/,1957,5,12 Angry Men
https://www.imdb.com/title/tt0108052/,1993,6,Schindler's List
https://www.imdb.com/title/tt0167260/,2003,7,The Lord of the Rings: The Return of the King
https://www.imdb.com/title/tt0110912/,1994,8,Pulp Fiction
https://www.imdb.com/title/tt0060196/,1966,9,"The Good, the Bad and the Ugly"
https://www.imdb.com/title/tt0120737/,2001,10,The Lord of the Rings: The Fellowship of the Ring
https://www.imdb.com/title/tt0137523/,1999,11,Fight Club
https://www.imdb.com/title/tt0109830/,1994,12,Forrest Gump
https://www.imdb.com/title/tt1375666/,2010,13,Inception
https://www.imdb.com/title/tt0080684/,1980,14,Star Wars: Episode V - The Empire Strikes Back
https://www.imdb.com/title/tt0167261/,2002,15,The Lord of the Rings: The Two Towers
https://www.imdb.com/title/tt0133093/,1999,16,The Matrix
https://www.imdb.com/title/tt0099685/,1990,17,GoodFellas
https://www.imdb.com/title/tt0073486/,1975,18,One Flew Over the Cuckoo's Nest
https://www.imdb.com/title/tt0047478/,1954,19,Seven Samurai
https://www.imdb.com/title/tt0114369/,1995,20,Se7en
https://www.imdb.com/title/tt0317248/,2002,21,City of God
https://www.imdb.com/title/tt0118799/,1997,22,Life Is Beautiful
https://www.imdb.com/title/tt0102926/,1991,23,The Silence of the Lambs
https://www.imdb.com/title/tt0038650/,1946,24,It's a Wonderful Life
https://www.imdb.com/title/tt6751668/,2019,25,Parasite
https://www.imdb.com/title/tt0076759/,1977,26,Star Wars: Episode IV - A New Hope
https://www.imdb.com/title/tt0120815/,1998,27,Saving Private Ryan
https://www.imdb.com/title/tt0245429/,2001,28,Spirited Away
https://www.imdb.com/title/tt0120689/,1999,29,The Green Mile
https://www.imdb.com/title/tt0816692/,2014,30,Interstellar
https://www.imdb.com/title/tt0110413/,1994,31,Léon: The Professional
https://www.imdb.com/title/tt0114814/,1995,32,The Usual Suspects
https://www.imdb.com/title/tt0056058/,1962,33,Harakiri
https://www.imdb.com/title/tt0110357/,1994,34,The Lion King
https://www.imdb.com/title/tt0120586/,1998,35,American History X
https://www.imdb.com/title/tt0103064/,1991,36,Terminator 2: Judgment Day
https://www.imdb.com/title/tt0088763/,1985,37,Back to the Future
https://www.imdb.com/title/tt0253474/,2002,38,The Pianist
https://www.imdb.com/title/tt0027977/,1936,39,Modern Times
https://www.imdb.com/title/tt0054215/,1960,40,Psycho
https://www.imdb.com/title/tt0172495/,2000,41,Gladiator
https://www.imdb.com/title/tt0021749/,1931,42,City Lights
https://www.imdb.com/title/tt1675434/,2011,43,The Intouchables
https://www.imdb.com/title/tt0407887/,2006,44,The Departed
https://www.imdb.com/title/tt2582802/,2014,45,Whiplash
https://www.imdb.com/title/tt0482571/,2006,46,The Prestige
https://www.imdb.com/title/tt0064116/,1968,47,Once Upon a Time in the West
https://www.imdb.com/title/tt7286456/,2019,48,Joker
https://www.imdb.com/title/tt0095327/,1988,49,Grave of the Fireflies
https://www.imdb.com/title/tt0034583/,1942,50,Casablanca
https://www.imdb.com/title/tt0047396/,1954,51,Rear Window
https://www.imdb.com/title/tt0095765/,1988,52,Cinema Paradiso
https://www.imdb.com/title/tt0078748/,1979,53,Alien
https://www.imdb.com/title/tt0078788/,1979,54,Apocalypse Now
https://www.imdb.com/title/tt0082971/,1981,55,Raiders of the Lost Ark
https://www.imdb.com/title/tt0209144/,2000,56,Memento
https://www.imdb.com/title/tt0032553/,1940,57,The Great Dictator
https://www.imdb.com/title/tt0405094/,2006,58,The Lives of Others
https://www.imdb.com/title/tt1853728/,2012,59,Django Unchained
https://www.imdb.com/title/tt4154756/,2018,60,Avengers: Infinity War
https://www.imdb.com/title/tt0050825/,1957,61,Paths of Glory
https://www.imdb.com/title/tt0081505/,1980,62,The Shining
https://www.imdb.com/title/tt0910970/,2008,63,WALL·E
https://www.imdb.com/title/tt4633694/,2018,64,Spider-Man: Into the Spider-Verse
https://www.imdb.com/title/tt8579674/,2019,65,1917
https://www.imdb.com/title/tt0043014/,1950,66,Sunset Boulevard
https://www.imdb.com/title/tt0119698/,1997,67,Princess Mononoke
https://www.imdb.com/title/tt0057012/,1964,68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
https://www.imdb.com/title/tt4154796/,2019,69,Avengers: Endgame
https://www.imdb.com/title/tt0364569/,2003,70,Oldboy
https://www.imdb.com/title/tt0051201/,1957,71,Witness for the Prosecution
https://www.imdb.com/title/tt1345836/,2012,72,The Dark Knight Rises
https://www.imdb.com/title/tt0087843/,1984,73,Once Upon a Time in America
https://www.imdb.com/title/tt0090605/,1986,74,Aliens
https://www.imdb.com/title/tt5311514/,2016,75,Your Name.
https://www.imdb.com/title/tt0169547/,1999,76,American Beauty
https://www.imdb.com/title/tt2380307/,2017,77,Coco
https://www.imdb.com/title/tt0112573/,1995,78,Braveheart
https://www.imdb.com/title/tt0082096/,1981,79,Das Boot
https://www.imdb.com/title/tt1187043/,2009,80,3 Idiots
https://www.imdb.com/title/tt0114709/,1995,81,Toy Story
https://www.imdb.com/title/tt0057565/,1963,82,High and Low
https://www.imdb.com/title/tt0086190/,1983,83,Star Wars: Episode VI - Return of the Jedi
https://www.imdb.com/title/tt0986264/,2007,84,Taare Zameen Par
https://www.imdb.com/title/tt0086879/,1984,85,Amadeus
https://www.imdb.com/title/tt0105236/,1992,86,Reservoir Dogs
https://www.imdb.com/title/tt0361748/,2009,87,Inglourious Basterds
https://www.imdb.com/title/tt0119217/,1997,88,Good Will Hunting
https://www.imdb.com/title/tt0062622/,1968,89,2001: A Space Odyssey
https://www.imdb.com/title/tt0180093/,2000,90,Requiem for a Dream
https://www.imdb.com/title/tt0022100/,1931,91,M
https://www.imdb.com/title/tt0052357/,1958,92,Vertigo
https://www.imdb.com/title/tt5074352/,2016,93,Dangal
https://www.imdb.com/title/tt0338013/,2004,94,Eternal Sunshine of the Spotless Mind
https://www.imdb.com/title/tt0033467/,1941,95,Citizen Kane
https://www.imdb.com/title/tt2106476/,2012,96,The Hunt
https://www.imdb.com/title/tt0093058/,1987,97,Full Metal Jacket
https://www.imdb.com/title/tt0053125/,1959,98,North by Northwest
https://www.imdb.com/title/tt0066921/,1971,99,A Clockwork Orange
https://www.imdb.com/title/tt0208092/,2000,100,Snatch
https://www.imdb.com/title/tt0012349/,1921,101,The Kid
https://www.imdb.com/title/tt0040522/,1948,102,Bicycle Thieves
https://www.imdb.com/title/tt0045152/,1952,103,Singin' in the Rain
https://www.imdb.com/title/tt0086250/,1983,104,Scarface
https://www.imdb.com/title/tt0075314/,1976,105,Taxi Driver
https://www.imdb.com/title/tt0211915/,2001,106,Amélie
https://www.imdb.com/title/tt0056172/,1962,107,Lawrence of Arabia
https://www.imdb.com/title/tt0435761/,2010,108,Toy Story 3
https://www.imdb.com/title/tt0070735/,1973,109,The Sting
https://www.imdb.com/title/tt8267604/,2018,110,Capharnaüm
https://www.imdb.com/title/tt0017136/,1927,111,Metropolis
https://www.imdb.com/title/tt0059578/,1965,112,For a Few Dollars More
https://www.imdb.com/title/tt0044741/,1952,113,Ikiru
https://www.imdb.com/title/tt1832382/,2011,114,A Separation
https://www.imdb.com/title/tt0036775/,1944,115,Double Indemnity
https://www.imdb.com/title/tt0056592/,1962,116,To Kill a Mockingbird
https://www.imdb.com/title/tt0053604/,1960,117,The Apartment
https://www.imdb.com/title/tt0097576/,1989,118,Indiana Jones and the Last Crusade
https://www.imdb.com/title/tt1255953/,2010,119,Incendies
https://www.imdb.com/title/tt1049413/,2009,120,Up
https://www.imdb.com/title/tt0119488/,1997,121,L.A. Confidential
https://www.imdb.com/title/tt0071853/,1975,122,Monty Python and the Holy Grail
https://www.imdb.com/title/tt0113277/,1995,123,Heat
https://www.imdb.com/title/tt0095016/,1988,124,Die Hard
https://www.imdb.com/title/tt0042876/,1950,125,Rashômon
https://www.imdb.com/title/tt0055630/,1961,126,Yojimbo
https://www.imdb.com/title/tt0372784/,2005,127,Batman Begins
https://www.imdb.com/title/tt0105695/,1992,128,Unforgiven
https://www.imdb.com/title/tt0363163/,2004,129,Downfall
https://www.imdb.com/title/tt6966692/,2018,130,Green Book
https://www.imdb.com/title/tt0118849/,1997,131,Children of Heaven
https://www.imdb.com/title/tt0053291/,1959,132,Some Like It Hot
