title,year
Spider-Man: Into the Spider-Verse,2018
Incredibles 2,2018
Isle of Dogs,2018
Mirai,2018
Ralph Breaks the Internet,2018
Coco,2017
The Boss Baby,2017
The Breadwinner,2017
Ferdinand,2017
Loving Vincent,2017
Zooptopia,2016
Kubo and the Two Strings,2016
Moana,2016
My Life as a Zucchini,2016
The Red Turtle,2016
Inside Out,2015
Anomalisa,2015
Boy & the World,2015
Shaun the Sheep Movie,2015
When Marnie Was There,2015
Big Hero 6,2014
The Boxtrolls,2014
How to Train Your Dragon 2,2014
Song of the Sea,2014
The Tale of the Princess Kaguya,2014
Frozen,2013
The Croods,2013
Despicable Me 2,2013
Ernest & Celestine,2013
The Wind Rises,2013
Brave,2012
Frankenweenie,2012
ParaNorman,2012
The Pirates! Band of Misfits,2012
Wreck-It Ralph,2012
Rango,2011
A Cat in Paris,2011
Chico & Rita,2011
Kung Fu Panda 2,2011
Puss in Boots,2011
Toy Story 3,2010
How to Train Your Dragon,2010
The Illusionist,2010
Up,2009
Coraline,2009
Fantastic Mr. Fox,2009
The Princess and the Frog,2009
The Secret of Kells,2009
WALL-E,2008
Bolt,2008
Kung Fu Panda,2008
Ratatouille,2007
Persepolis,2007
Surf's Up,2007
Happy Feet,2006
Cars,2006
Monster House,2006
Wallace & Gromit: The Curse of the Were-Rabbit,2005
Howl's Moving Castle,2005
Tim Burton's Corpse Bride,2005
The Incredibles,2004
Shark Tale,2004
Shrek 2,2004
Finding Nemo,2003
Brother Bear,2003
The Triplets of Belleville,2003
Spirited Away,2002
Ice Age,2002
Lilo & Stitch,2002
Spirit: Stallion of the Cimarron,2002
Treasure Planet,2002
Shrek,2001
Jimmy Neutron: Boy Genius,2001
"Monsters, Inc.",2001
