title,year,winner
Lawrence of Arabia,1962,True

The Longest Day,1962,False

The Music Man,1962,False

Mutiny on the Bounty,1962,False

To Kill a Mockingbird,1962,False

America America,1963,False

Cleopatra,1963,False

How the West Was Won,1963,False

Lilies of the Field,1963,False

Tom Jones,1963,True

Becket,1964,False

Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,False

Mary Poppins,1964,False

My Fair Lady,1964,True

Zorba the Greek,1964,False

Darling,1965,False

Doctor Zhivago,1965,False

Ship of Fools,1965,False

The Sound of Music,1965,True

A Thousand Clowns,1965,False

Alfie,1966,False

A Man for All Seasons,1966,True

The Russians Are Coming The Russians Are Coming,1966,False

The Sand Pebbles,1966,False

Who's Afraid of Virginia Woolf?,1966,False

Bonnie and Clyde,1967,False

Doctor Dolittle,1967,False

The Graduate,1967,False

Guess Who's Coming to Dinner,1967,False

In the Heat of the Night,1967,True

Funny Girl,1968,False

The Lion in Winter,1968,False

Oliver!,1968,True

"Rachel, Rachel",1968,False

Romeo and Juliet,1968,False

Anne of the Thousand Days,1969,False

Butch Cassidy and the Sundance Kid,1969,False

"Hello, Dolly!",1969,False

Midnight Cowboy,1969,True

Z,1969,False

Airport,1970,False

Five Easy Pieces,1970,False

Love Story,1970,False

M*A*S*H,1970,False

Patton,1970,True

A Clockwork Orange,1971,False

Fiddler on the Roof,1971,False

The French Connection,1971,True

The Last Picture Show,1971,False

Nicholas and Alexandra,1971,False

Cabaret,1972,False

Deliverance,1972,False

The Emigrants,1972,False

The Godfather,1972,True

Sounder,1972,False

American Graffiti,1973,False

Cries and Whispers,1973,False

The Exorcist,1973,False

The Sting,1973,True

A Touch of Class,1973,False

Chinatown,1974,False

The Conversation,1974,False

The Godfather: Part II,1974,True

Lenny,1974,False

The Towering Inferno,1974,False

Barry Lyndon,1975,False

Dog Day Afternoon,1975,False

Jaws,1975,False

Nashville,1975,False

One Flew over the Cuckoo's Nest,1975,True

All the President's Men,1976,False

Bound for Glory,1976,False

Network,1976,False

Rocky,1976,True

Taxi Driver,1976,False

Annie Hall,1977,True

The Goodbye Girl,1977,False

Julia,1977,False

Star Wars,1977,False

The Turning Point,1977,False

Coming Home,1978,False

The Deer Hunter,1978,True

Heaven Can Wait,1978,False

Midnight Express,1978,False

An Unmarried Woman,1978,False

All That Jazz,1979,False

Apocalypse Now,1979,False

Breaking Away,1979,False

Kramer vs. Kramer,1979,True

Norma Rae,1979,False

Coal Miner's Daughter,1980,False

The Elephant Man,1980,False

Ordinary People,1980,True

Raging Bull,1980,False

Tess,1980,False

Atlantic City,1981,False

Chariots of Fire,1981,True

On Golden Pond,1981,False

Raiders of the Lost Ark,1981,False

Reds,1981,False

E.T. the Extra-Terrestrial,1982,False

Gandhi,1982,True

Missing,1982,False

Tootsie,1982,False

The Verdict,1982,False

The Big Chill,1983,False

The Dresser,1983,False

The Right Stuff,1983,False

Tender Mercies,1983,False

Terms of Endearment,1983,True

Amadeus,1984,True

The Killing Fields,1984,False

A Passage to India,1984,False

Places in the Heart,1984,False

A Soldier's Story,1984,False

The Color Purple,1985,False

Kiss of the Spider Woman,1985,False

Out of Africa,1985,True

Prizzi's Honor,1985,False

Witness,1985,False

Children of a Lesser God,1986,False

Hannah and Her Sisters,1986,False

The Mission,1986,False

Platoon,1986,True

A Room with a View,1986,False

Broadcast News,1987,False

Fatal Attraction,1987,False

Hope and Glory,1987,False

The Last Emperor,1987,True

Moonstruck,1987,False

The Accidental Tourist,1988,False

